OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_206,269,Breitenlooweg,1,1,POINT (8.48401796 47.37904282)
LOKALISATION_207,767,Hallerweg,1,1,POINT (8.48321341 47.37563259)
LOKALISATION_208,331,Burgdorferweg,1,1,POINT (8.48567447 47.37415699)
LOKALISATION_209,974,Im Kratz,1,1,POINT (8.48280310 47.37416211)
LOKALISATION_210,509,Eyhof,1,1,POINT (8.48898699 47.37178905)
LOKALISATION_211,1258,Liebensteinstrasse,1,1,POINT (8.49107845 47.37584367)
LOKALISATION_212,2096,Voltastrasse,1,1,POINT (8.55388579 47.37845736)
LOKALISATION_213,458,Eleonorenstrasse,1,1,POINT (8.55670328 47.37296017)
LOKALISATION_214,877,Hochstrasse,1,1,POINT (8.55742143 47.37704204)
LOKALISATION_215,2029,Toblerstrasse,1,1,POINT (8.56312866 47.37647085)
LOKALISATION_216,1543,Pilgerweg,1,1,POINT (8.57199740 47.37939978)
LOKALISATION_217,2000,Talstrasse,1,1,POINT (8.53849380 47.36849525)
LOKALISATION_218,260,Börsenstrasse,1,1,POINT (8.53892962 47.36768880)
LOKALISATION_219,165,Basteiplatz,1,1,POINT (8.53626694 47.36988521)
LOKALISATION_220,1467,Nüschelerstrasse,1,1,POINT (8.53727183 47.37135365)
LOKALISATION_221,1526,Pelikanstrasse,1,1,POINT (8.53550241 47.37093814)
LOKALISATION_222,1915,St. Peterstrasse,1,1,POINT (8.53792654 47.37097491)
LOKALISATION_223,161,Bärengasse,1,1,POINT (8.53806837 47.37036915)
LOKALISATION_224,114,Augustinergasse,1,1,POINT (8.54010230 47.37174255)
LOKALISATION_225,149,Bahnhofstrasse,1,1,POINT (8.54016524 47.36737009)
LOKALISATION_226,572,Fraumünsterstrasse,1,1,POINT (8.54068851 47.36939603)
LOKALISATION_227,1753,Schipfe,1,1,POINT (8.54142448 47.37191658)
LOKALISATION_228,2185,Widdergasse,1,1,POINT (8.53996603 47.37220381)
LOKALISATION_229,1417,Münzplatz,1,2,POINT (8.53944344 47.37199036)
LOKALISATION_230,115,Augustinerhof,1,2,POINT (8.53975300 47.37153488)
LOKALISATION_231,1560,Quaibrücke,1,1,POINT (8.54312581 47.36693014)
LOKALISATION_232,1064,Kappelerhof,1,2,POINT (8.54038823 47.36841322)
LOKALISATION_233,1416,Münsterhof,1,2,POINT (8.54096033 47.37007466)
LOKALISATION_234,1052,Kämbelgasse,1,1,POINT (8.54169333 47.37031865)
LOKALISATION_235,1914,St. Peterhofstatt,1,2,POINT (8.54077209 47.37157130)
LOKALISATION_236,1763,Schlüsselgasse,1,1,POINT (8.54107698 47.37106839)
LOKALISATION_237,1974,Storchengasse,1,1,POINT (8.54143247 47.37094585)
LOKALISATION_238,2261,Zinnengasse,1,1,POINT (8.54146611 47.37057843)
LOKALISATION_239,2159,Weinplatz,1,2,POINT (8.54171351 47.37142319)
LOKALISATION_240,1979,Strehlgasse,1,1,POINT (8.54107455 47.37192077)
LOKALISATION_241,1808,Schwanengasse,1,1,POINT (8.54109527 47.37207303)
LOKALISATION_242,685,Glockengasse,1,1,POINT (8.54054212 47.37197088)
LOKALISATION_243,1840,Selnaubrücke,1,1,POINT (8.53441321 47.37016067)
LOKALISATION_244,2144,Weggengasse,1,1,POINT (8.54132356 47.37154632)
LOKALISATION_245,1789,Schulhausstrasse,1,1,POINT (8.52531217 47.36032588)
LOKALISATION_246,866,Hirschenplatz,1,2,POINT (8.54383365 47.37339507)
LOKALISATION_247,296,Brunngasse,1,1,POINT (8.54451547 47.37324167)
LOKALISATION_248,2231,Zähringerplatz,1,2,POINT (8.54494257 47.37388430)
LOKALISATION_249,1900,Spitalgasse,1,1,POINT (8.54447671 47.37358061)
LOKALISATION_250,141,Badergasse,1,1,POINT (8.54334017 47.37385679)
LOKALISATION_251,864,Hirschengasse,1,1,POINT (8.54309556 47.37342216)
